n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,bin_a,asym_difficulty
7.0,9.0,0.0,6.0,0.2222222222222222,0.2222222222222222,4782969.0,3523257.0,3523257.0,0.7366255144032922,1.0,"(0.7, 0.75]",-0.26337448559670784
7.0,9.0,0.0,3.0,0.7777777777777777,0.6666666666666666,4782969.0,2729376.0,2729376.0,0.5706447187928669,1.0,"(0.55, 0.6]",-0.42935528120713307
7.0,9.0,0.0,4.0,1.0,1.0,4782969.0,78125.0,78125.0,0.016333996728810075,1.0,"(-0.001, 0.05]",-0.9836660032711899
7.0,9.0,1.0,2.0,1.0,0.1111111111111111,1.0,4782841.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,2.0,0.5555555555555556,0.3333333333333333,4782969.0,4746777.0,4746777.0,0.9924331518770036,1.0,"(0.95, 1.0]",-0.00756684812299635
7.0,9.0,0.0,1.0,0.3333333333333333,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,0.0,0.0,0.7777777777777777,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,0.8888888888888888,1401.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,0.0,0.4444444444444444,0.6666666666666666,19321.0,4620288.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,5.0,0.0,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,6.0,0.2222222222222222,0.3333333333333333,4782969.0,2053593.0,2053593.0,0.42935528120713307,1.0,"(0.4, 0.45]",-0.5706447187928669
7.0,9.0,0.0,3.0,0.7777777777777777,0.7777777777777777,4782969.0,1259712.0,1259712.0,0.26337448559670784,1.0,"(0.25, 0.3]",-0.7366255144032922
7.0,9.0,0.0,2.0,0.5555555555555556,0.4444444444444444,4782969.0,4554697.0,4554697.0,0.9522739955036296,1.0,"(0.95, 1.0]",-0.04772600449637043
7.0,9.0,0.0,1.0,0.3333333333333333,0.1111111111111111,4782969.0,4782968.0,4782968.0,0.999999790924842,1.0,"(0.95, 1.0]",-2.0907515796420029e-07
7.0,9.0,1.0,2.0,1.0,0.2222222222222222,1.0,4779705.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,0.0,0.0,0.8888888888888888,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.6666666666666666,1.0,1401.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,6.0,0.2222222222222222,0.4444444444444444,4782969.0,828873.0,828873.0,0.17329675354366714,1.0,"(0.15, 0.2]",-0.8267032464563329
7.0,9.0,0.0,3.0,0.7777777777777777,0.8888888888888888,4782969.0,279936.0,279936.0,0.058527663465935076,1.0,"(0.05, 0.1]",-0.9414723365340649
7.0,9.0,1.0,0.0,0.4444444444444444,0.7777777777777777,19321.0,3932160.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,1.0,0.3333333333333333,0.2222222222222222,4782969.0,4782912.0,4782912.0,0.9999880827159868,1.0,"(0.95, 1.0]",-1.1917284013174267e-05
7.0,9.0,0.0,5.0,0.0,0.1111111111111111,4782969.0,4704844.0,4704844.0,0.98366600327119,1.0,"(0.95, 1.0]",-0.016333996728809974
7.0,9.0,0.0,2.0,0.5555555555555556,0.5555555555555556,4782969.0,4554697.0,4554697.0,0.9522739955036296,1.0,"(0.95, 1.0]",-0.04772600449637043
7.0,9.0,1.0,1.0,0.7777777777777777,0.0,57.0,4782969.0,57.0,1.0,1.1917284013339834e-05,"(0.95, 1.0]",0.9999880827159867
7.0,9.0,0.0,0.0,0.0,1.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
