scenario,strat,success,total_message_count,numb_of_a_constraints_present,numb_of_a_that_are_constraints_discovered,numb_of_b_constraints_present,numb_of_b_that_are_constraints_discovered
column,constraint,True,77,5,5,0,0
column,random,True,16,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,40,0,0,0,0
column,constraint,True,215,5,5,0,0
column,random,True,244,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,262,0,0,0,0
column,constraint,True,183,5,5,0,0
column,random,True,348,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,True,60,0,0,0,0
column,constraint,True,12,5,4,0,0
column,random,True,82,0,0,0,0
column,constraint,True,29,5,4,0,0
column,random,True,76,0,0,0,0
column,constraint,True,264,5,5,0,0
column,random,True,422,0,0,0,0
column,constraint,True,47,5,5,0,0
column,random,True,15,0,0,0,0
column,constraint,True,187,5,5,0,0
column,random,True,11,0,0,0,0
column,constraint,True,115,5,5,0,0
column,random,True,60,0,0,0,0
column,constraint,True,93,5,5,0,0
column,random,True,108,0,0,0,0
column,constraint,True,64,5,5,0,0
column,random,True,35,0,0,0,0
column,constraint,True,144,5,5,0,0
column,random,True,4,0,0,0,0
column,constraint,True,108,5,5,0,0
column,random,True,58,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,249,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,258,0,0,0,0
column,constraint,True,118,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,109,0,0,0,0
column,constraint,True,25,5,2,0,0
column,random,True,302,0,0,0,0
column,constraint,True,128,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,42,5,5,0,0
column,random,True,28,0,0,0,0
column,constraint,True,114,5,5,0,0
column,random,True,134,0,0,0,0
column,constraint,True,31,5,5,0,0
column,random,True,352,0,0,0,0
column,constraint,True,41,5,5,0,0
column,random,True,46,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,136,0,0,0,0
column,constraint,True,93,5,5,0,0
column,random,True,136,0,0,0,0
column,constraint,True,17,5,4,0,0
column,random,True,68,0,0,0,0
column,constraint,True,100,5,5,0,0
column,random,True,78,0,0,0,0
column,constraint,True,40,5,5,0,0
column,random,True,32,0,0,0,0
column,constraint,True,106,5,5,0,0
column,random,True,190,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,71,0,0,0,0
column,constraint,True,6,5,1,0,0
column,random,True,79,0,0,0,0
column,constraint,True,4,5,0,0,0
column,random,True,104,0,0,0,0
column,constraint,True,86,5,5,0,0
column,random,True,40,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,274,0,0,0,0
column,constraint,True,91,5,5,0,0
column,random,True,353,0,0,0,0
column,constraint,True,3,5,0,0,0
column,random,True,50,0,0,0,0
column,constraint,True,158,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,76,5,5,0,0
column,random,True,24,0,0,0,0
column,constraint,True,82,5,5,0,0
column,random,True,74,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,109,5,5,0,0
column,random,True,195,0,0,0,0
column,constraint,True,36,5,5,0,0
column,random,True,21,0,0,0,0
column,constraint,True,49,5,5,0,0
column,random,True,7,0,0,0,0
column,constraint,True,21,5,3,0,0
column,random,True,116,0,0,0,0
column,constraint,True,97,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,187,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,119,5,5,0,0
column,random,True,80,0,0,0,0
column,constraint,True,115,5,5,0,0
column,random,True,94,0,0,0,0
column,constraint,True,109,5,5,0,0
column,random,True,13,0,0,0,0
column,constraint,True,264,5,5,0,0
column,random,True,471,0,0,0,0
column,constraint,True,148,5,5,0,0
column,random,True,83,0,0,0,0
column,constraint,True,149,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,142,5,5,0,0
column,random,True,13,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,316,0,0,0,0
column,constraint,True,121,5,5,0,0
column,random,True,294,0,0,0,0
column,constraint,True,199,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,202,5,5,0,0
column,random,True,46,0,0,0,0
column,constraint,True,64,5,5,0,0
column,random,True,68,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,24,5,5,0,0
column,random,True,43,0,0,0,0
column,constraint,True,92,5,5,0,0
column,random,True,110,0,0,0,0
column,constraint,True,31,5,4,0,0
column,random,True,40,0,0,0,0
column,constraint,True,95,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,303,5,5,0,0
column,random,True,138,0,0,0,0
column,constraint,True,184,5,5,0,0
column,random,True,452,0,0,0,0
column,constraint,True,84,5,5,0,0
column,random,True,26,0,0,0,0
column,constraint,True,17,5,5,0,0
column,random,True,154,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,10,5,2,0,0
column,random,True,108,0,0,0,0
column,constraint,True,143,5,5,0,0
column,random,True,45,0,0,0,0
column,constraint,True,34,5,5,0,0
column,random,True,142,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,3,0,0,0,0
column,constraint,True,54,5,5,0,0
column,random,True,81,0,0,0,0
column,constraint,True,25,5,5,0,0
column,random,True,62,0,0,0,0
column,constraint,True,90,5,5,0,0
column,random,True,273,0,0,0,0
column,constraint,True,109,5,5,0,0
column,random,True,262,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,234,0,0,0,0
column,constraint,True,10,5,3,0,0
column,random,True,165,0,0,0,0
column,constraint,True,20,5,5,0,0
column,random,True,32,0,0,0,0
column,constraint,True,21,5,5,0,0
column,random,True,60,0,0,0,0
column,constraint,True,14,5,2,0,0
column,random,True,56,0,0,0,0
column,constraint,True,49,5,5,0,0
column,random,True,17,0,0,0,0
column,constraint,True,37,5,5,0,0
column,random,True,455,0,0,0,0
column,constraint,True,144,5,5,0,0
column,random,True,19,0,0,0,0
column,constraint,True,22,5,4,0,0
column,random,True,124,0,0,0,0
column,constraint,True,14,5,3,0,0
column,random,True,110,0,0,0,0
column,constraint,True,48,5,5,0,0
column,random,True,191,0,0,0,0
column,constraint,True,131,5,5,0,0
column,random,True,312,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,10,5,1,0,0
column,random,True,150,0,0,0,0
column,constraint,True,85,5,5,0,0
column,random,True,198,0,0,0,0
column,constraint,True,21,5,4,0,0
column,random,True,90,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,6,0,0,0,0
column,constraint,True,111,5,5,0,0
column,random,True,174,0,0,0,0
column,constraint,True,99,5,5,0,0
column,random,True,188,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,68,0,0,0,0
column,constraint,True,42,5,5,0,0
column,random,True,79,0,0,0,0
column,constraint,True,91,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,321,5,5,0,0
column,random,True,132,0,0,0,0
column,constraint,True,267,5,5,0,0
column,random,True,91,0,0,0,0
column,constraint,True,85,5,5,0,0
column,random,True,31,0,0,0,0
column,constraint,True,144,5,5,0,0
column,random,True,107,0,0,0,0
column,constraint,True,38,5,5,0,0
column,random,True,185,0,0,0,0
column,constraint,True,128,5,5,0,0
column,random,True,42,0,0,0,0
column,constraint,True,39,5,4,0,0
column,random,True,30,0,0,0,0
column,constraint,True,77,5,5,0,0
column,random,True,206,0,0,0,0
column,constraint,True,21,5,5,0,0
column,random,True,28,0,0,0,0
column,constraint,True,250,5,5,0,0
column,random,True,88,0,0,0,0
column,constraint,True,11,5,3,0,0
column,random,True,44,0,0,0,0
column,constraint,True,22,5,5,0,0
column,random,True,5,0,0,0,0
column,constraint,True,96,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,38,5,5,0,0
column,random,True,126,0,0,0,0
column,constraint,True,118,5,5,0,0
column,random,True,82,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,202,0,0,0,0
column,constraint,True,5,5,1,0,0
column,random,True,22,0,0,0,0
column,constraint,True,106,5,5,0,0
column,random,True,10,0,0,0,0
column,constraint,True,87,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,120,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,176,0,0,0,0
column,constraint,True,378,5,5,0,0
column,random,True,136,0,0,0,0
column,constraint,True,39,5,5,0,0
column,random,True,211,0,0,0,0
column,constraint,True,29,5,5,0,0
column,random,False,502,0,0,0,0
column,constraint,True,18,5,4,0,0
column,random,True,75,0,0,0,0
column,constraint,True,55,5,5,0,0
column,random,True,114,0,0,0,0
column,constraint,True,72,5,5,0,0
column,random,True,30,0,0,0,0
column,constraint,True,77,5,5,0,0
column,random,True,305,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,123,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,137,0,0,0,0
column,constraint,True,11,5,1,0,0
column,random,True,328,0,0,0,0
column,constraint,True,135,5,5,0,0
column,random,True,198,0,0,0,0
column,constraint,True,25,5,3,0,0
column,random,True,49,0,0,0,0
column,constraint,True,22,5,5,0,0
column,random,True,115,0,0,0,0
column,constraint,True,69,5,5,0,0
column,random,True,71,0,0,0,0
column,constraint,True,53,5,5,0,0
column,random,True,54,0,0,0,0
column,constraint,True,92,5,5,0,0
column,random,True,123,0,0,0,0
column,constraint,True,8,5,1,0,0
column,random,True,16,0,0,0,0
column,constraint,True,95,5,5,0,0
column,random,True,37,0,0,0,0
column,constraint,True,65,5,5,0,0
column,random,True,112,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,168,0,0,0,0
column,constraint,True,131,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,147,5,5,0,0
column,random,True,79,0,0,0,0
column,constraint,True,81,5,5,0,0
column,random,True,68,0,0,0,0
column,constraint,True,263,5,5,0,0
column,random,True,24,0,0,0,0
column,constraint,True,35,5,5,0,0
column,random,True,59,0,0,0,0
column,constraint,True,79,5,5,0,0
column,random,True,118,0,0,0,0
column,constraint,True,168,5,5,0,0
column,random,True,215,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,270,0,0,0,0
column,constraint,True,103,5,5,0,0
column,random,True,272,0,0,0,0
column,constraint,True,59,5,5,0,0
column,random,True,186,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,84,0,0,0,0
column,constraint,True,78,5,5,0,0
column,random,True,36,0,0,0,0
column,constraint,True,111,5,5,0,0
column,random,True,58,0,0,0,0
column,constraint,True,2,5,0,0,0
column,random,True,40,0,0,0,0
column,constraint,True,214,5,5,0,0
column,random,True,38,0,0,0,0
column,constraint,True,191,5,5,0,0
column,random,True,92,0,0,0,0
column,constraint,True,90,5,5,0,0
column,random,True,14,0,0,0,0
column,constraint,True,66,5,5,0,0
column,random,True,216,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,180,0,0,0,0
column,constraint,True,43,5,4,0,0
column,random,True,140,0,0,0,0
column,constraint,True,179,5,5,0,0
column,random,True,110,0,0,0,0
column,constraint,True,71,5,5,0,0
column,random,True,80,0,0,0,0
column,constraint,True,45,5,5,0,0
column,random,True,230,0,0,0,0
column,constraint,True,160,5,5,0,0
column,random,True,13,0,0,0,0
column,constraint,True,84,5,5,0,0
column,random,True,78,0,0,0,0
column,constraint,True,11,5,3,0,0
column,random,True,17,0,0,0,0
column,constraint,True,101,5,5,0,0
column,random,True,52,0,0,0,0
column,constraint,True,351,5,5,0,0
column,random,True,11,0,0,0,0
column,constraint,True,113,5,5,0,0
column,random,True,356,0,0,0,0
column,constraint,True,147,5,5,0,0
column,random,True,194,0,0,0,0
column,constraint,True,37,5,4,0,0
column,random,True,8,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,3,0,0,0,0
column,constraint,True,14,5,5,0,0
column,random,True,190,0,0,0,0
column,constraint,True,241,5,5,0,0
column,random,True,93,0,0,0,0
column,constraint,True,23,5,5,0,0
column,random,True,42,0,0,0,0
column,constraint,True,35,5,4,0,0
column,random,True,6,0,0,0,0
column,constraint,True,11,5,4,0,0
column,random,True,13,0,0,0,0
column,constraint,True,60,5,5,0,0
column,random,True,106,0,0,0,0
column,constraint,True,268,5,5,0,0
column,random,True,2,0,0,0,0
column,constraint,True,63,5,5,0,0
column,random,True,320,0,0,0,0
column,constraint,True,11,5,2,0,0
column,random,True,49,0,0,0,0
column,constraint,True,29,5,4,0,0
column,random,True,70,0,0,0,0
column,constraint,True,370,5,5,0,0
column,random,True,104,0,0,0,0
column,constraint,True,6,5,2,0,0
column,random,True,380,0,0,0,0
column,constraint,True,40,5,5,0,0
column,random,True,41,0,0,0,0
column,constraint,True,6,5,1,0,0
column,random,True,4,0,0,0,0
column,constraint,True,163,5,5,0,0
column,random,True,262,0,0,0,0
