constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
12,0.0,0.1111111111111111,635040,756000,34560,0.05442176870748298,0.045714285714285714,0.002487852283770651,Enumeration,d9669406-12
10,0.6666666666666666,0.4444444444444444,312236,973280,58,0.0001857569274523117,5.9592306427749475e-05,1.1069683741815384e-08,Random,87f249a0-10
20,0.1111111111111111,0.4444444444444444,86400,125622,0,0.0,0.0,0.0,Random,87f249a0-20
12,0.0,0.2222222222222222,635040,755893,34453,0.054253275384227764,0.04557920234742219,0.0024728210167481363,Enumeration,87f249a0-12
3,0.0,0.2222222222222222,3529470,3629360,2221688,0.6294678804466393,0.6121431877796636,0.385324474941514,Enumeration,d9669406-3
20,0.0,0.3333333333333333,86400,137233,170,0.0019675925925925924,0.0012387691007265016,2.4373929065220514e-06,Random,87f249a0-20
17,0.0,0.2222222222222222,201600,252000,3600,0.017857142857142856,0.014285714285714284,0.0002551020408163265,Enumeration,87f249a0-17
8,0.0,0.2222222222222222,1382976,1587439,241759,0.17481069808875932,0.1522949858230773,0.026622792787149845,Enumeration,d9669406-8
21,0.1111111111111111,0.2222222222222222,72000,103680,270,0.00375,0.0026041666666666665,9.765625e-06,Random,87f249a0-21
10,0.0,0.3333333333333333,987840,1119555,92467,0.0936052397149336,0.08259263725319435,0.007731103608773811,Random,87f249a0-10
10,0.0,0.3333333333333333,987840,1119555,92467,0.0936052397149336,0.08259263725319435,0.007731103608773811,Random,d9669406-10
20,0.0,0.0,86400,138240,540,0.00625,0.00390625,2.44140625e-05,Random,d9669406-20
3,0.0,1.0,3529470,1,0,0.0,0.0,0.0,Enumeration,87f249a0-3
10,0.5555555555555556,0.6666666666666666,694613,188220,3,4.318951704042395e-06,1.593879502709595e-05,6.88388859426585e-11,Random,87f249a0-10
18,0.6666666666666666,0.5555555555555556,90594,126145,0,0.0,0.0,0.0,Random,d9669406-18
10,0.6666666666666666,0.1111111111111111,312236,1134000,428,0.0013707580163722312,0.0003774250440917108,5.173584047683552e-07,Random,8cce13a3-10
