id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,n_constraints,n_constraints_discovered,n_constraints_opponent_discovered,strat,utility,opponent_utility,opponent_strat
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,9,1.0,0.0,1,288,0,0.0,0.0,0.0,True,2,9,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,2,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,2,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,7,0.0,1.0,576,1,0,0.0,0.0,0.0,True,3,7,0,0,Enumeration,-1000.0,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,8,0.0,1.0,432,1,0,0.0,0.0,0.0,False,13,8,6,5,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,False,2,0,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,13,0.0,1.0,48,1,0,0.0,0.0,0.0,False,2,13,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,2,0.0,1.0,2000,1,0,0.0,0.0,0.0,True,7,2,3,2,Constrained Random,47.4,70.00000000000001,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,1.0,1.0,1,1,0,0.0,0.0,0.0,False,3,13,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,1.0,0.0,1,2500,0,0.0,0.0,0.0,False,2,1,0,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,5,0.0,0.0,1024,960,216,0.2109375,0.225,0.0474609375,True,2,5,0,0,Enumeration,85.8,-799.8,Enumeration
